id;loc_ref;rvc_ref;barcode_id;barcode;menu_item_id;defenition_sequence;price;price_sequence;preparation_cost
1;that diligently;18847;5966;patiently knife;10333;6891;8098.07;12435;30028.89
2;naturally vivaciously norm;315;31183;huzzah bright blaring;9400;32566;28207.89;4050;28003.48
3;saloon mmm;11572;6267;anenst meh why;6187;6880;32349.37;18990;5569.51
4;habit poorly;15733;29552;jot geez cope;16981;14426;11450.6;11274;663.57
5;nimble ornate bah;10110;20666;slope although pfft;14588;24120;8540.32;24497;8515.03
6;anenst;5098;15615;bog atomize house;11953;20313;3079.4;23451;32560.25
7;mechanically;14825;17345;black distinct mould;17715;32181;19806.38;7538;5586.17
8;before;23625;27632;swiftly grouper;23949;19918;31245.23;31948;22068.53
9;fellow maintainer;19769;24410;vivaciously;26426;1714;21809.68;12736;25047.77
10;gosh mmm morning;30287;29441;engage;23305;8239;19819.87;23306;22776.46
