id;rvc_ref;check_ref;check_number;check_name;check_employee_ref;order_type_ref;order_channel_ref;table_name;table_group_number;open_time;guest_count;language;is_training_check;status;preparation_status;subtotal;subtotal_discount_total;auto_service_charge_total;service_charge_total;tax_total;payment_total;total_due;tax_rate_id
1;4348;actual boastfully;15746;right;6777;14696;4109;depend;9857;2025-07-29T07:05:18;8482;nippy;false;underneath backburn mantua;uproot;17569.49;4637.55;5642.49;12749.41;24620.5;26575.27;27772.5;28287
2;2432;unless aw;22919;concerning chainstay;17850;6554;18055;fleck homely;11826;2025-07-29T05:20:12;14552;daintily;true;eek off complication;indeed to summary;676.48;31932.01;17930.49;23450.64;7921.39;23621.24;31613.76;17023
3;17945;gigantic shark;890;pocket-watch;8440;1401;6143;aggravating whenever;26761;2025-07-29T00:55:48;28386;upon;false;but;brr bran quip;4634.2;24245.57;17057.56;31406.05;9675;8229.21;10775;27326
4;28430;stoop what;6032;distant;25790;22614;4145;if gadzooks;24716;2025-07-28T13:29:49;21140;midst recklessly;true;whoever yuck almost;since besides;17719.51;15417.08;5915.85;30459.81;6866.48;5255.52;19928.2;25506
5;10463;contrast loftily frilly;28448;bravely dwell;21047;7936;23937;woefully;19152;2025-07-29T10:02:41;29031;after;false;dispense lazily catalyze;fondly unless;30430;20030.97;19707.58;3901.16;23522.83;19611.23;4745.19;26757
6;25669;tempting mid;2498;surprise breakable truthfully;22635;9517;27656;vastly but advancement;11621;2025-07-29T02:47:20;30602;an rarely bore;true;pale so times;anti appliance;29400.76;499.42;2680.29;26197.92;22712.84;11659.76;24556.36;6674
7;25889;amid archaeology deeply;3039;interesting;28696;28687;16010;times;6658;2025-07-28T20:36:53;25290;technician commonly;true;colorize vacantly swing;considering;29586.89;12322.31;22507.84;3275.72;19054.9;3561.67;23224.73;23778
8;2995;lest next after;21370;gosh;5548;31430;14825;hence;14601;2025-07-29T07:23:20;4370;sesame seldom;false;nervously;hovel tiny;19214.59;828.29;4566.85;9410.81;25827.7;17196.04;32533.14;26459
9;17650;innocently;24073;or;16023;5068;11275;colorize although woot;14556;2025-07-29T11:47:19;25522;gee uh-huh;true;midst;endow provided;17479.29;29276.16;29984.34;24400.56;18800.13;18089.34;19742.44;7358
10;32383;youthful;9524;crank cash;5277;1114;9083;deceivingly even;17676;2025-07-28T16:44:30;18468;during teriyaki sugary;false;less;mmm sharply;8849.68;25609.18;20301.41;25290.87;10649.35;30604.15;9285.11;1078
