id;nom_court;nom_mstr;num_mstr;name;etablissement_ref
1;21161;wildly;28981;besides brr given;although
2;425;and likewise aha;13078;ick list lest;vicinity consequently
3;14294;since;11560;ack edge apud;phooey though finally
4;14386;healthily;25546;opposite;underachieve forceful
5;16627;um;9304;consequently gee experience;for octave
6;32579;suddenly smarten;3574;unexpectedly deduction;around
7;22425;cheerfully;30581;except plus;gloat hydrolyse rule
8;8802;obscure masquerade merit;13104;yahoo failing blink;reach ugh
9;28995;kit midst exhausted;12818;huge;although gloss
10;28198;when wrongly;20990;baritone phooey;easily
