id;nom_court;nom_mstr;num_mstr;name;etablissement_ref
1;17412;pish jealously;27280;ack lest;off till
2;1677;blah underneath;25976;bowler ew;oof before
3;26965;cycle;7469;outside outflank tectonics;crank to excess
4;11493;by phooey;10716;design um;exhaust now handy
5;29544;ecliptic among favorite;32611;but;instead
6;25461;until hawk;20704;zowie;shout
7;25216;likewise overfeed;1201;zowie;integer concerning
8;11877;broadly;7367;overcharge overdub;smoothly huzzah
9;22317;epic till;2207;harmful;bony barring
10;8162;accidentally or;8564;proofread kosher only;nocturnal psst catalog
