id;nom;nom_court;type_value;value;etablissement_ref
1;though;gadzooks;when;30812.19;best courageous responsibility
2;clamor pitiful;before ha dividend;under;29711.34;another famously
3;unripe jumbo;gadzooks;pace;371.28;unto mould
4;veto even;along fold which;pike through on;24555.34;unto oof ouch
5;awkwardly sonata;stylish;underneath criminal which;16138.84;except
6;even mechanically flawed;yahoo juggernaut questionable;yippee as square;25558.65;cumbersome past
7;clinking;speedily pro bench;medium;2507.59;powerfully consequently boohoo
8;indolent naughty sudden;plus;concerning;25731.08;ambitious
9;bah;hence without;aside via flight;7881.2;thoroughly
10;keenly ha;popularize;clamor;24219.79;haircut daily tomorrow
