id;org_short_name;loc_ref;rvc_ref;service_charge_id;name;type;value
1;digital;anti;29798;27356;neatly;now;9599.41
2;psst;to;20918;25842;massive;lest;24320.33
3;nor electric;yahoo offensively;13338;10605;marten far smoothly;innovate advocate;8350.5
4;muddy with powerful;ah;19711;19234;catalog goat though;as;8958.95
5;whether;hospitalization tremendously;12373;1408;mmm spice throughout;exaggerate righteously classic;18531.05
6;impish taro;loyally beneficial;1496;32150;coaxingly purple;forgather wherever woot;19584.1
7;while;rule clear oof;28815;22856;pfft absent;meanwhile;12298.13
8;meaningfully if overdue;dampen;20317;869;making cow;phrase;7975.56
9;hydrant yowza thunderbolt;willfully key furthermore;17749;21126;likewise;amend than yippee;14203.43
10;chase easily;rightfully baptise catch;1313;6443;unlike schematise gripper;unless however;24292.15
