id;guest_check_line_item_id;detail_utc;detail_lcl;seat_num;prc_lvl;dsp_ttl;dsp_qty;err_cor_flag;vd_flag;return_flag;do_not_show_flag;agg_ttl;rsn_code_num;ref_info_1;ref_info_2;svc_rnd_num;par_dtl_id;chk_emp_id;trans_emp_num;mgr_emp_num;meal_emp_num;dsc_num;dsc_mi_num;svc_chg_num;tmed_num;mi_num
1;24313;2025-07-28T15:58:30;2025-07-29T08:11:47;19048;2051;25252.64;8225;true;true;false;true;26686.23;3427;birdbath big utilized;wrongly below nor;17612;564;7065;6307;19841;29116;30882;1808;5669;29118;27687
2;2874;2025-07-29T03:59:41;2025-07-28T15:36:29;5230;28126;21106.02;11717;false;true;false;false;1252.75;1675;pant clear-cut times;over informal um;24328;13710;26464;458;14204;5957;20417;11596;1348;27126;29211
3;9046;2025-07-29T09:00:00;2025-07-29T07:08:44;20533;7795;20290.82;2477;false;true;false;true;28909.14;27217;avalanche hoick;before;21778;6489;20621;5205;16797;24088;30804;27974;4760;3978;21692
4;5456;2025-07-29T00:57:01;2025-07-28T18:12:34;941;21695;19223.63;8021;false;true;false;false;1074.86;5708;for whoever;till vainly;27616;5050;10936;16437;8650;5932;7306;28814;10223;10206;22138
5;26731;2025-07-29T11:17:01;2025-07-29T00:17:31;25062;31791;6936.71;21472;false;true;true;false;1029.54;20486;while;disadvantage doubtfully since;4277;24852;22991;2313;4157;8658;6006;22541;7214;19947;23951
6;31007;2025-07-28T20:00:22;2025-07-28T21:23:41;32455;6655;3516.01;6394;false;false;false;true;28855.41;27419;sans;playfully towards;8881;14662;3627;5046;6924;1256;19077;9935;2989;20144;1864
7;13126;2025-07-29T11:51:28;2025-07-29T01:22:29;10398;23964;15992.17;21118;false;true;false;true;1560.87;10161;shoulder;who gleefully;20386;1577;15913;9387;15406;32141;8460;6442;18074;32478;3828
8;12504;2025-07-28T13:08:29;2025-07-29T10:48:59;14434;19214;26369.11;13024;true;true;true;true;32393.7;30767;incidentally;hovel boohoo;28533;3305;16738;28577;16580;11240;16034;30088;32038;13210;26847
9;29287;2025-07-28T18:42:40;2025-07-28T15:33:53;27003;31722;14821.06;27742;false;true;false;false;4721.13;29961;hyena;wholly front voluntarily;13397;27263;18173;1702;18010;11572;19377;12926;26429;16530;12101
10;3831;2025-07-29T11:22:30;2025-07-29T11:06:47;31231;13963;21117.31;12160;true;false;true;false;3701.65;1941;which defiantly;ew;19539;26199;1059;3630;12756;11468;11725;19141;11449;24498;13674
