id;master_id;nom;nom_court;family_group_ref;prix;menu_ref
1;11132;naturally phew;mid;21900;30933;18084
2;1990;aside;unimpressively fooey archaeology;15236;1884;25144
3;2228;into;aside;11153;4041;28099
4;30745;because ack unless;progress glorious;22025;16332;32654
5;31901;recovery;rim times;144;5942;17551
6;9788;gosh relieve;ha drat boohoo;20578;14137;27660
7;6785;boohoo drat than;whose dapper;14570;8818;8613
8;26796;condense which;short-term lazily;11817;30813;6623
9;25370;information;gosh generally whole;2949;28138;28702
10;17593;peppery;hunt tomb;27;16970;5223
