id;nom;parent_hier_id;unit_id
1;inside;scale;yippee pish calmly
2;unless midst;explode ambitious rudely;hamburger
3;until ah likable;uh-huh hmph mature;sturdy disrespect
4;brook;sign dismal;badly heavily brook
5;rebound digit replacement;alive beautifully helpful;absent inasmuch similar
6;ditch humidity;unlike interviewer handy;pop dime huge
7;dowse;around reckon chapel;brr querulous whereas
8;far-off concrete;bug whereas twin;negligible
9;successfully seemingly;cuddly;scuttle overload
10;hm;battle ugh consequently;duh whoa ditch
