id;hier_unit_id;tz_index;tz_name;locale_info_id;name;reporting_loc_name;loc_ref;reporting_parent_enterprise_level_name;object_num;sbm_pms_ifc_ip;sbm_pms_ifc_port;sbm_prive_room_start;sbm_prive_room_end;sbm_pms_send_all_details;sbm_pms_send_full_dscv;sbm_pms_send_64_tax;sbm_card_payment_url;sbm_check_hotel_data_url;sbm_voucher_svc_url;sbm_voucher_inv_pm;sbm_voucher_corp_pm;sbm_voucher_reward_pm;sbm_voucher_mc_pm;sbm_pms_ifc_port_2;sbm_pms_ifc_port_3;sbm_pms_ifc_port_4;sbm_timeout
1;8959;15497;duh;27045;yuck;ingratiate;overfeed;brr;27032;across till till;which question across;whack quizzically;bright psst;bah;woot blink;distant stable upwardly;whoever;mainstream;deer peter;if until;diversity stranger thorn;ouch yowza loyally;publicize jacket merrily;mechanically;tomorrow bah yawningly;tremendously thorough;fortunately
2;16139;7745;whose;6468;notwithstanding woefully;ick than;frenetically against;capitalize meh for;23339;harvest bowed inquisitively;untrue youthfully;because headline until;unkempt bliss;joshingly;at opera;doubtfully as whose;gosh before left;entrench kooky;anti stupendous;why;drat;enchanted;after imagineer;snappy although;slide apud how;likely knotty cute;after however
3;8401;18703;starboard prudent;1736;duh;since;during;forceful tooth;27052;legislature valiantly ugh;supposing fathom;yowza loudly;fully curly skeleton;reckon service along;lest yuck;naturally lively soon;next before boo;alienated recovery anti;muted above;whopping among enormously;international along quarrel;remark;heavily not;following suspiciously wherever;materialise;square;optimal narrow
4;21393;24263;er afore;26953;clone tarragon;lest acquaintance;consequently;bestride miserably gently;24632;because huzzah inasmuch;usefully actually coolly;phew newsstand;secondary punctuation since;hence certainly;enthusiastically bravely;about;rural;consequently volleyball coarse;off pity;shadowbox jovially;industrialize;yet instead bad;notwithstanding delete yahoo;notwithstanding;until how salty;wrathful;good-natured once
5;28908;24998;tomography;16723;sleepily;besides;unless whether;CD part;27740;drat phrase;priesthood where;bah extension;unless anticodon mortar;drain;libel;far-flung ouch;though engender yuck;near;excess above sharply;affectionate yippee that;however past;through swelter;versus since;vivaciously councilman gah;up warlike mid;until for;between certify
6;10503;6840;suddenly deform;11556;baptise fortunately;geez instead even;breed soon;cautious creature brr;17392;as;until hmph blah;hypothesise oof;times but;woot;clear-cut whenever astride;smoothly;scornful;strong;like;yippee;happily light;jovially;gosh that;frankly;function;whoever amongst;though hmph fooey
7;24154;12639;questioningly;10227;ack carouse;cleverly above;priesthood;orientate or;2929;quick;shady disloyal helpless;qua;tackle;pneumonia uh-huh;yippee;wonderfully boo;nor flight what;lest;outside accept;supportive silently;untimely ouch duh;anaesthetise;jealously;without smooth enrich;longingly rosemary ignorance;um hype inquisitively;big ponder haversack
8;22688;10483;cease awkwardly preheat;30158;daily ack;aw blight captain;creature;consign however;14959;inscribe thyme;mmm scarcely;er why cod;hippodrome meal nor;oof after when;until;why decryption;even rejoin soggy;repossess till;frizzy between which;faraway;physically seldom;lashes;down;duh;well-made;roger;alarmed snow mummify
9;9951;25934;briefly geez;27166;phew though;insolence;guacamole;ha;37;less airman for;reclassify truthfully;joyously;brave pace mill;fisherman above;easily preregister meanwhile;supposing;waver steep;under;angrily inquisitively;pish;so shoot;highly;while whoever;past hence;hmph;whoever;dirty
10;18708;24070;butter see;947;willow aboard gullible;advertisement ambitious allegation;until;alongside jiggle;29256;fireplace blah if;reach speedily fuss;interestingly;soggy er event;downright mid fuel;gosh upliftingly;kaleidoscopic inasmuch shady;excluding to;boo astride materialise;dim;broadcast tough although;amid too;tail;hold which;unhealthy management likewise;violently;behind pocket-watch;usually
