id;hier_unit_id;menu_item_master_id;family_group_object_num;major_group_object_num;report_group_object_num;external_reference_1;external_reference_2;object_num;name
1;23649;6840;12731;6058;26735;grounded gadzooks blind;other;27895;frantically than jive
2;7397;19708;26892;107;20672;over alongside silent;yippee gad fishery;14712;unnecessarily prime though
3;7996;18258;16641;22555;12359;quizzically reassuringly;preregister confiscate yieldingly;16547;precious round
4;17630;24815;22656;28081;25131;lazily;smoothly;10789;colour viability
5;1671;17907;7111;706;14557;save stall after;lovable on;29987;woot mechanic outside
6;16188;27967;16288;21197;2523;whenever but viciously;nautical;4050;toady gah
7;3577;31621;13213;9182;23176;strategy on pfft;that knit questionable;6494;ethical mantua frankly
8;28912;498;27860;30411;32743;vice usually;gah aside dearly;16421;opera aching
9;6804;3026;24133;277;5609;engage curl;hospitable second-hand;25616;aside
10;25747;13597;13951;28443;12569;below;uh-huh wide wherever;12807;juicy yuck
