id;hier_unit_id;menu_item_price_id;menu_item_master_id;menu_item_master_obj_num;menu_item_definition_id;def_sequence_num;external_reference_1;external_reference_2;price_sequence_num;active_on_menu_level;effectivity_group_obj_num;prep_cost;price;options
1;13419;19832;12421;31208;2703;27259;gee bah oh;though knavishly;23291;8532;disgorge;7269.22;1268.71;taxicab
2;3465;26299;25846;11649;10834;370;spork consequently which;boo gleefully;6511;1181;furthermore;12542.61;9220.7;broadly
3;15665;9643;23638;1575;9443;24015;priesthood;institute gleefully now;28473;24627;negotiation;19656.93;23267.67;pull before
4;14287;16405;1142;6912;29207;10913;at playfully;yahoo eyebrow gosh;21467;7649;swelter;12749.41;12515.73;concerning
5;22198;19554;32275;32522;13414;10670;seemingly before;ew writ;17195;17059;warm;20522.6;19338.47;scarcely
6;19207;4570;25777;11064;24579;17893;fooey excepting;uncover kiddingly;18263;14608;fragrant though weary;11547.11;2327.04;whoa
7;21958;5697;6300;27152;29015;28408;gah;up inasmuch;20200;8906;sup;9853.96;2139.02;although outgoing
8;30061;32611;3334;16853;24753;31787;tuxedo;gadzooks however save;24742;20858;seemingly;23707.7;25463.78;even license
9;17521;1650;12961;18126;28698;25093;loftily onto indeed;underachieve;27804;17379;to cellar;21891.81;10364.78;like white
10;11630;24335;19021;20557;13245;20100;seemingly last;excepting vanish emergent;17153;12983;hence unlucky unearth;2810.73;32109.76;jaggedly pixellate
