id;num;loc_ref;name;mstr_num;mstr_name
1;22286;trial cooperative;transcend;5997;synthesise
2;22297;sweetly simplistic and;farm hence;714;uselessly
3;16079;geez at approach;stint;29485;consequently gerbil below
4;24502;imaginative like classic;mmm;8498;hourly ravage cheerfully
5;17480;righteously;drat following log;31971;meh huzzah gah
6;26012;helplessly splurge;medium provided vet;5788;and
7;23540;publicity parallel into;bump;19015;aw moor helplessly
8;13437;countess rosy monthly;around spirit meh;13518;edge
9;7945;fatherly;because;26149;pertinent
10;21162;following why delicious;wherever along;27432;helpfully deflect thoughtfully
