id;num;loc_ref;name;mstr_num;mstr_name;cat_grp_hier_name_1;cat_grp_name_1;cat_grp_hier_name_2;cat_grp_name_2;cat_grp_hier_name_3;cat_grp_name_3;cat_grp_hier_name_4;cat_grp_name_4
1;20446;numb holster hmph;tomography;1038;veg generously willing;who not;whoa bah;catalyze;though halt warmly;gee;overconfidently;fooey entomb within;an sheathe
2;949;satirise;sonata pupil;28792;reckless penalise;upliftingly proper save;shanghai kiddingly;onto boohoo;aha;burdensome reconsideration;ample even gah;abandoned violent;frilly
3;22139;who unless upon;lest er;1413;powerfully victoriously ha;midst drum;remand shiny whose;dense homely these;by separately priesthood;as till inject;yet;around;inasmuch
4;18675;between enormously;mutate beside finally;10985;afore;soap sideboard papa;ordinary;however notwithstanding;while testimonial;blah;sternly;wetly oh;lawful circa
5;12490;fit punctually doubtfully;vast in wedge;13950;please oof;often what;clear-cut plumber;gosh;heavy for;finally above;harmful versus impressionable;woot until;now
6;13347;telescope;hence though;18052;justly;fooey;meanwhile nor;legal;kindheartedly;brr drat;merrily gray;unwilling talkative;besides likely smuggle
7;7393;quiet dazzling frightfully;pliers interestingly since;6024;dead;concerning before SUV;provided victoriously whose;charm instead but;er indeed;unlike unabashedly hm;often stuff technologist;pant smuggle;perfectly as
8;5762;pro duh ashamed;substitution gentle arrogantly;7242;stack about;hollow;pish pfft;glider;when far;after shrilly;near unabashedly;off individual tepid;or within sympathetically
9;10009;down;amazing rationale annually;2679;snarling;contractor yippee;persecute thoughtfully;settler and;hard-to-find feminize;upright mid;ack down blah;toward likewise;which apprehensive boss
10;5289;among miserably before;lest but which;11993;oof aha hydrolyse;soon or;elevator if;upon;reprove knowledgeably circle;yippee accomplished uh-huh;captain;mantua below;kookily
