id;num;loc_ref;name;mstr_num;mstr_name;cat_grp_hier_name_1;cat_grp_name_1;cat_grp_hier_name_2;cat_grp_name_2;cat_grp_hier_name_3;cat_grp_name_3;cat_grp_hier_name_4;cat_grp_name_4
1;11187;pendant reflecting;ugh;17510;briskly;um dispense before;lack;drive yahoo;stock evenly;unnecessarily overdue;who what;dapper omelet;reluctantly
2;23557;likewise over fen;lest whoever next;13936;baritone yieldingly merrily;celsius;aw;as freezing;meanwhile progress since;cuckoo abaft;wonderfully;eek rundown fort;promptly limited
3;18785;metabolise inferior;badly;15669;gah quart even;uh-huh;modulo even;although guzzle;swill;lest;sternly clearly;whenever;nougat
4;13750;at next fooey;for even progress;25858;pish fabricate;rubbery nor;eek;vainly record all;for loosely;reproachfully apropos;pfft claw weight;jubilantly;er
5;11668;card excepting;boastfully;24174;messy yuck;lavish yet;rebuff more;strident;under spork;swat hm amid;catalyze eek mysteriously;readjust other calmly;spanish forgery enhance
6;19644;revere dulcimer egg;as interior around;13926;scratchy unless burdensome;scented;blah who for;thoughtfully loudly as;jot mmm now;muscat comfortable intend;exotic hence vaguely;gee;encouragement
7;16455;where finally;availability oh doubtfully;16663;once limited without;by justly;modulo recommendation;soon;ah;entice incidentally smoothly;utter think godfather;hence;rarely
8;8843;confused duh eternity;likewise quaintly nicely;18050;alongside bleakly;how huzzah stuff;around;apostrophize;lest justly equally;investigate briskly accidentally;instead round;until;yeast throughout
9;32296;yuck muddy till;unabashedly yahoo;2651;rebel reluctantly;confirm shovel;but apud;blissfully;bad wretched excitedly;fashion;private;sell amongst so;eek giggle meh
10;7019;versus restfully mid;sinful privilege;20045;pish along;unsung besides pish;ugh up;chunder;exactly beside indeed;bemuse uh-huh ick;rationale pish verbally;implode castanet annex;tarry bashfully unique
