id;rvc_ref;name;loc_ref;org_short_name;address
1;2876;yawningly when shakily;truly lest expense;shocked obscure;kiddingly lest
2;28343;now;offensively frankly;incomplete shoddy across;jovially
3;18791;gee;wisely lest unfortunately;whenever;scenario norm
4;3729;times agitated though;um;boo lumpy;rebuild ethical
5;19765;sternly buzzing;ah;fit hose;irritably early buck
6;18410;gut developmental atop;by radiant toothpick;forenenst paintwork ah;whoa consequently embossing
7;5634;phooey probe whup;diversity councilman recklessly;up profane while;offensively
8;24701;intent because tool;kissingly pressure bolster;kookily yippee indeed;where
9;23945;curly another;soulful;lovingly efface;lest
10;17308;glorious;reconstitute and;abaft;boo
