id;num;name;pos_percent;rpt_grp_num;rpt_grp_name;loc_ref
1;30875;mortar or debut;24393.99;11477;consequently deceivingly;upright though restfully
2;27343;dreary horse;5828.18;6727;though throbbing or;determined
3;15629;where considering;24838.1;14980;thrifty;over bah
4;20172;if past woot;7397.63;23868;catalog blah;yet
5;25972;indolent;16432.79;11982;jury cruelly profane;vivaciously angrily till
6;26372;oh although nephew;10584.2;23267;fooey fooey decriminalize;travel but within
7;26241;odd subsidy;31707.66;3059;switchboard;celsius wetly an
8;20527;sharply;5946.29;747;steel meh;atop wisely oof
9;24254;properly;6460.47;4249;afore swiftly eyeglasses;yahoo supposing that
10;12879;while yesterday goose;31390.83;8684;verve;whereas gad reluctantly
