id;org_short_name;loc_ref;rvc_ref;discount_id;fr_name;eng_name;discount_type;discount_value
1;meh phooey;who;9062;29776;inwardly tomography;across thyme;angrily roasted terribly;20447.85
2;how terribly unwilling;whether happy-go-lucky;10362;22102;deer chase;barring boo within;er enormously absent;6184.82
3;whoever chip while;roadway gazebo huzzah;12018;8843;though acceptable;provided forgather;even impartial meh;3163.68
4;after uh-huh;lender now confiscate;7414;24460;drat eulogise than;oh afore roughly;after how given;4692.77
5;wrongly;qua handful gadzooks;27741;23436;whose since;dishonor smooth against;rigidly exasperation;9590.69
6;perky although;parody upon;12470;14239;boohoo capitalize;with;husk impeccable until;28247.74
7;sesame;finally dream robust;2327;4071;hyphenation;gym nor;pfft summarise inasmuch;30056.47
8;pro recklessly wisely;recklessly obediently after;17476;3118;brown realistic worriedly;up major;knowledgeable;14921.05
9;character;slipper whenever frugal;12076;31810;readmit;resort warmly;abnormally deceivingly before;20911.14
10;whereas hmph;battle at;19112;32678;fuss critical;integer up zowie;tightly jury towards;25274.4
