id;org_short_name;loc_ref;rvc_ref;tax_class_id;active_tax_rate_refs
1;psst;woot before for;19457;11661;athwart hello modulo
2;abacus reiterate like;flat;85;12150;broadside kissingly the
3;firm phew majority;including;14919;12752;descendant private
4;fooey;but fair after;3750;20425;except
5;zowie venom sharply;operating although;9578;28704;muted of converse
6;voluminous talkative rightfully;executor gadzooks;26578;27561;remand beside rebuke
7;famously regal after;stint;20476;16035;accelerator how
8;till swelter;promptly abaft;31038;23448;around individual trust
9;incidentally stool ew;vamoose yuck;23150;5746;secularize hasty
10;blah incidentally oh;testify pillory private;30417;577;potentially bicycle
