id;org_short_name;loc_ref;rvc_ref;tax_rate_id;percentage;tax_type;name_fr;name_en
1;including aw league;oof merge;30554;4797;10256.86;casket incidentally;neatly ugh;incidentally hence delightfully
2;inasmuch mature;fortunately among ample;9507;12238;18684.96;excitedly unlike;engender daddy;ick supposing whether
3;obnoxiously yippee;as apropos admonish;10439;22006;10188.12;in mountain;fort reassemble someplace;seriously sudden strange
4;live;going gah hello;29843;3527;18562.9;how however;trench foolish;amidst federate indeed
5;ack;mixed regarding gosh;29590;7237;23143.91;without;indeed;by nerve
6;modulo sham yet;rapid quicker;25144;6602;9316.31;opposite behind;kiss;yahoo
7;lox;yearly for clearly;5673;9038;13565;for interestingly;rightfully whitewash hopelessly;zany
8;decode bah;jumbo;20867;27787;5574.11;geez;absentmindedly onto;save terribly after
9;duh;drain;21427;16239;6303.5;atop but;beyond hot settler;pigpen
10;funny drat unto;finally brr;17583;23274;21429.45;accompanist gladly sunny;bah onto woot;writhing duh
